contig	gene	gene_id	gene_start	gene_end	strand	annotation	read_count	total_overlap_bp	best_mapq	example_read
NC_058379.1	SLC14A2	gene-SLC14A2	65478041	65978889	+	GeneID:101084395	8	8379	60	94e23ce0-a6a3-43ac-9c88-32e4ef02f37d
NC_058368.1	GPC5	gene-GPC5	63585150	65006311	+	GeneID:101094473,VGNC:VGNC:102214	8	7849	60	08a02501-2502-4840-938a-655f318147fa
NC_058374.1	MGAT4C	gene-MGAT4C	108479788	109204225	-	GeneID:109501701,VGNC:VGNC:63487	8	7752	60	9f07d908-8ede-4979-a38d-c4705228df95
NC_058371.1	KCNIP4	gene-KCNIP4	187703118	188859567	+	GeneID:101084537,VGNC:VGNC:63043	8	7372	60	c9f41cd8-b20a-4abc-bd4e-f10e3e7d04de
NC_058385.1	VPS13B	gene-VPS13B	45146843	45951497	+	GeneID:101096636,VGNC:VGNC:66955	8	7140	60	93726df7-07d0-491d-9aa0-77d1e6b73146
NC_058374.1	SOX5	gene-SOX5	56961791	57979730	-	GeneID:101099220	8	7019	60	659793bb-8627-4b9d-bf29-50efc622e546
NC_058369.1	LOC101081454	gene-LOC101081454	60063662	60901651	+	GeneID:101081454	8	6797	60	3d895fc7-e7fd-43f4-802a-e601dcab2bea
NC_058368.1	PDE4D	gene-PDE4D	126862255	128317383	-	GeneID:101092826,VGNC:VGNC:68759	8	6616	60	76772d0c-8dda-4ec0-8494-5680c1adab21
NC_058373.1	LOC123386161	gene-LOC123386161	126279374	127353539	+	GeneID:123386161	8	6456	60	e7ea718c-e04c-4a46-8dac-059a024f503d
NC_058377.1	DLG2	gene-DLG2	47148141	49202567	+	GeneID:101097912	8	6143	60	0447e8bc-4470-4e55-88f6-eecf5e3eaef0
NC_058376.1	CADM2	gene-CADM2	37751900	38820676	+	GeneID:101098567,VGNC:VGNC:102609	8	5764	60	2b26c1a2-166d-4a8c-abfb-65de17e4ce2f
NC_058376.1	LOC111556367	gene-LOC111556367	40838024	41225369	+	GeneID:111556367	8	5704	60	c61815ae-3b1e-47f5-9fee-16228aaabea7
NC_058374.1	LOC109501315	gene-LOC109501315	9376160	9710549	+	GeneID:109501315	7	13739	60	f449fb6b-d705-4ecf-9446-c7efc76f9b1d
NC_058371.1	GALNTL6	gene-GALNTL6	55327546	56533187	-	GeneID:101089099,VGNC:VGNC:107336	7	10222	60	f6810ac6-f367-42ce-800c-1b44e905d31a
NC_058374.1	ANKS1B	gene-ANKS1B	119497987	120570190	-	GeneID:101086662,VGNC:VGNC:83492	7	9976	60	2572e334-b6d8-4e46-b731-bce7dbfbebd3
NC_058369.1	THSD7A	gene-THSD7A	104638081	105302357	-	GeneID:101100458,VGNC:VGNC:66176	7	9125	60	dd7c6ea5-1e5c-46b7-9c9a-7b001bbbd05f
NC_058380.1	BNC2	gene-BNC2	41430843	41868665	-	GeneID:101096927,VGNC:VGNC:60142	7	9078	60	f1d4630a-4d96-4ee5-b2f7-a272d63f156f
NC_058381.1	LOC111557781	gene-LOC111557781	51925021	52788066	-	GeneID:111557781	7	8192	60	e079dcc1-01e8-4112-9cf7-d9ed7141a41c
NC_058372.1	NKAIN2	gene-NKAIN2	111118620	112105723	+	GeneID:101081049,VGNC:VGNC:97528	7	8088	60	9a0b87e5-d771-4c28-be4a-918e988c7ce7
NC_058374.1	TMEM117	gene-TMEM117	71203196	71702640	+	GeneID:105259639	7	7876	60	a572e0d1-f160-4dee-835c-178ed74b8c86
NC_058378.1	LRMDA	gene-LRMDA	35735200	36776436	+	GeneID:101098827	7	7799	60	14e49742-68af-4498-86cf-fd7feab4830e
NC_058372.1	ATXN1	gene-ATXN1	12286481	12702087	+	GeneID:101092268,VGNC:VGNC:60035	7	7777	60	a39ab858-9920-4678-a76f-4b205668373d
NC_058368.1	SGCD	gene-SGCD	190648765	191595538	-	GeneID:101089742,VGNC:VGNC:102315	7	7684	60	6f1f03a0-3f82-48b8-b0e6-88807db78c12
NC_058385.1	LOC123383241	gene-LOC123383241	14689322	14820489	+	GeneID:123383241	7	7544	60	60e77495-02ae-4ac8-9016-0052f2754ecf
NC_058368.1	LOC123380187	gene-LOC123380187	207151896	207369438	-	GeneID:123380187	7	7497	60	bf3579f9-09aa-4c54-ad74-ac730cd5d567
NC_058368.1	PCDH9	gene-PCDH9	41709794	42628551	-	GeneID:101099519,VGNC:VGNC:68719	7	7095	60	db9dc7fd-ff02-4eac-b6b7-81cc46952b04
NC_058376.1	SLC9A9	gene-SLC9A9	119563020	120256999	+	GeneID:101087002,VGNC:VGNC:102845	7	7076	60	d05d9648-f95f-4681-b572-d4582b8e26b2
NC_058377.1	ARHGAP32	gene-ARHGAP32	25825258	26122599	-	GeneID:101091969,VGNC:VGNC:59889	7	6858	60	0c7872eb-d0a4-4af1-bbdf-06a16d969bba
NC_058372.1	LOC109499872	gene-LOC109499872	107431877	108239837	+	GeneID:109499872	7	6596	60	f6af6e27-32d0-4270-8690-b7ea14c9fe09
NC_058368.1	DACH1	gene-DACH1	46219312	46651520	-	GeneID:101084158	7	6497	60	cd44b577-f260-456a-881d-e95d9d29996b
NC_058369.1	CACNA2D3	gene-CACNA2D3	22551440	23449060	+	GeneID:101094658,VGNC:VGNC:60304	7	6470	60	48d34619-4317-41e9-8cfe-9e74a8e2a0ed
NC_058372.1	KCNQ5	gene-KCNQ5	65500989	66024212	+	GeneID:101092113	7	6429	60	14d51324-0b86-49de-9b85-bb09d3bb19a9
NC_058379.1	SETBP1	gene-SETBP1	65022462	65399349	+	GeneID:101100925,VGNC:VGNC:65038	7	6252	60	2b5505de-838e-4698-94b8-d0515fcee20a
NC_058372.1	CDKAL1	gene-CDKAL1	8082704	8873627	-	CDK5 regulatory subunit associated protein 1 like 1	7	6129	60	d476cd64-65fd-42ff-b824-2d09c270cdbf
NC_058384.1	RABGAP1L	gene-RABGAP1L	16132712	16894946	+	GeneID:101095220	7	6112	60	4b39f413-139e-4c8d-8b61-6f4282deca9a
NC_058385.1	CPQ	gene-CPQ	43276094	43705935	+	GeneID:101092662,VGNC:VGNC:61138	7	6013	60	a796a046-09ba-4070-aace-563b9836fb74
NC_058371.1	IQCM	gene-IQCM	77491444	78165576	+	GeneID:102899952,VGNC:VGNC:67686	7	5858	60	94684286-b2a8-4144-bfa8-48afe23d15ea
NC_058374.1	CACNA1C	gene-CACNA1C	35428109	36181496	-	GeneID:101082923,VGNC:VGNC:60294	7	5729	60	c5bbfa22-9530-4d52-9a31-24a5f5791f7a
NC_058368.1	LOC123384353	gene-LOC123384353	34430273	35367130	-	GeneID:123384353	7	5537	60	3d74848c-250a-4674-8674-23cca86cc04d
NC_058385.1	RALYL	gene-RALYL	32316218	33034510	+	GeneID:101093081	7	5375	60	3ecb2379-4eee-4f89-bd81-cab2c6553777
NC_058378.1	PRKG1	gene-PRKG1	5099534	6354385	-	GeneID:101097420	7	5354	60	f06ce18a-c2aa-400e-9dde-33676b8d0e0f
NC_058381.1	LOC111559206	gene-LOC111559206	12960195	12962063	+	GeneID:111559206	7	5009	0	92bfcfcf-3409-4131-aff6-67ad7cb940c5
NC_058368.1	CTNND2	gene-CTNND2	229740989	230679913	+	GeneID:101092165,VGNC:VGNC:97393	7	4994	60	9a698441-95ef-42bb-a1b4-a08ee6d05fd4
NC_058374.1	PARD3	gene-PARD3	31268989	31947491	-	GeneID:101100223,VGNC:VGNC:64040	7	4892	60	4fc76529-614c-41d3-bae7-d1123bf324aa
NC_058369.1	CDK14	gene-CDK14	94331644	95006147	+	GeneID:101081878,VGNC:VGNC:68810	7	4868	60	d13d3106-1b8e-4e70-a915-f9a420364623
NC_001700.1	ND5	gene-KEF43_p03	12634	14454	+	GeneID:807929	7	3914	60	ea6282e5-22f9-4e1c-95f0-8c12103dc6ec
NC_058382.1	LOC123382277	gene-LOC123382277	40222801	40737164	+	GeneID:123382277	6	14521	60	509c5230-dc9e-499d-a8bf-680dc7be9528
NC_058377.1	SBF2	gene-SBF2	66354814	66844340	-	GeneID:101092396,VGNC:VGNC:64887	6	10086	60	bcea20c2-2382-4c2d-9c6c-c52a755068ce
NC_058370.1	NRXN1	gene-NRXN1	68975957	70103338	-	GeneID:101084531	6	8741	60	44e4c3df-bc83-4696-a17e-cbc9e7bb1d51
NC_058372.1	KHDRBS2	gene-KHDRBS2	55631551	56241674	-	GeneID:101099208,VGNC:VGNC:102445	6	8398	60	4d9a4363-02b7-4ee5-9cb8-3033a1c2310c
NC_058375.1	ARHGAP15	gene-ARHGAP15	134111308	134727284	+	GeneID:101096334,VGNC:VGNC:59876	6	8226	60	fcab8955-a6b3-4006-9f25-914da6e23950
NC_058378.1	NRG3	gene-NRG3	40827878	41888238	+	GeneID:101082012,VGNC:VGNC:97536	6	8153	60	027791f0-dbb4-403f-84c3-56bc7997e65c
NC_058379.1	DCC	gene-DCC	71506440	72657047	+	GeneID:101098832,VGNC:VGNC:61363	6	8077	60	65a425f4-a655-430f-a02d-561be7ca209d
NC_058370.1	LOC111559792	gene-LOC111559792	36969782	37424483	-	GeneID:111559792	6	8008	60	563fa8ae-b115-412a-bfa3-4080eeb10dc3
NC_058385.1	SNTG1	gene-SNTG1	2916694	3805675	+	GeneID:101091502,VGNC:VGNC:81675	6	7982	60	356d3971-49a6-43aa-9470-09727beb102a
NC_058369.1	PCLO	gene-PCLO	87224778	87642312	-	GeneID:101099703,VGNC:VGNC:80649	6	7931	60	2cb1dfaa-c101-4295-bb64-93787c829328
NW_025408544.1	LOC123383715	gene-LOC123383715	18291	127308	+	GeneID:123383715	6	7750	60	57d200f2-ba32-48e6-9d71-c380e068810f
NC_058378.1	CHRM3	gene-CHRM3	9253445	9775795	-	GeneID:101100919,VGNC:VGNC:60875	6	7457	60	5d74e19c-bddd-4c6c-acc5-81d1f1f24436
NC_058370.1	ALK	gene-ALK	116104439	116920252	+	GeneID:101091689,VGNC:VGNC:98505	6	7427	60	b4216cc0-e740-433d-9740-e46be651480d
NC_058383.1	LOC109495262	gene-LOC109495262	26709130	27082278	+	GeneID:109495262	6	6966	60	bef93406-2347-439d-85e1-44d796575a05
NC_058379.1	METTL4	gene-METTL4	41374000	42055839	+	GeneID:101088958,VGNC:VGNC:63466	6	6949	60	1b0e5f5d-22fa-480d-98af-018bbdfaa258
NC_058369.1	ARHGEF3	gene-ARHGEF3	24904225	25214230	-	GeneID:101096044,VGNC:VGNC:68147	6	6932	60	4f1c46e8-1c3c-4fb1-87b5-1183c0861041
NC_058381.1	LOC123382139	gene-LOC123382139	13047000	13048868	+	GeneID:123382139	6	6872	0	eb65efb1-5d39-43cf-b340-efede2882354
NC_058376.1	RBMS3	gene-RBMS3	144331700	145658073	+	GeneID:101091224,VGNC:VGNC:64537	6	6841	60	70a88943-7ab2-4df7-8e0b-2918252f9d3c
NC_058371.1	ANK2	gene-ANK2	109913220	110584517	-	GeneID:101100129,VGNC:VGNC:107310	6	6840	60	5a03692c-e4e0-4129-827e-5800723f7853
NC_058368.1	NR3C1	gene-NR3C1	118867812	119030492	-	nuclear receptor subfamily 3 group C member 1	6	6710	60	fbab023f-7545-4568-8e29-4384b01e8af7
NC_058369.1	LOC111559444	gene-LOC111559444	41864832	42234853	+	GeneID:111559444	6	6630	60	7be96bd4-3e4b-4cb1-96bd-5a8b6fe13bd0
NC_058368.1	GPC6	gene-GPC6	65309585	66429550	+	GeneID:101095873,VGNC:VGNC:102215	6	6520	60	06c458de-7a0a-47e8-aaa7-85f938210a5e
NC_058375.1	NEGR1	gene-NEGR1	59103341	59954662	-	GeneID:101084810,VGNC:VGNC:107589	6	6401	60	0827e9c9-bd93-4202-8ed7-4daec4440641
NC_058372.1	ADGRB3	gene-ADGRB3	61771554	62500053	+	GeneID:101084448,VGNC:VGNC:69077	6	6297	60	25cd6f05-08d7-4bc1-a1b8-a55a8db4783a
NC_058372.1	LOC109500179	gene-LOC109500179	55169437	55691717	+	GeneID:109500179	6	6266	60	6cecc3c0-1856-41de-a415-83ad822d648d
NC_058374.1	DNAJC1	gene-DNAJC1	20692731	20913723	-	GeneID:101095666,VGNC:VGNC:83868	6	6247	60	2fbcd367-9a9c-4012-8b38-ac769f5bb709
NC_058382.1	CDH13	gene-CDH13	55900182	56930976	+	GeneID:101086108	6	6088	60	fbe478dd-e2de-4fa8-9cbb-2d0f5f2fc981
NC_058374.1	SYT1	gene-SYT1	102199920	102758502	+	GeneID:654422	6	6076	60	f2d8c3a1-3936-4281-8a96-96f6782ab85f
NC_058373.1	CEP128	gene-CEP128	124790567	125191585	-	GeneID:101089700,VGNC:VGNC:60766	6	5943	60	cb551b01-b8ec-4d7f-a363-19d6fc0c74d6
NC_058379.1	CCDC178	gene-CCDC178	54367129	54864493	-	GeneID:101096359,VGNC:VGNC:60482	6	5941	60	cd14b094-dbed-4823-9ba7-cde4658296f6
NC_058369.1	DGKI	gene-DGKI	152444303	152883334	-	GeneID:101088826,VGNC:VGNC:61461	6	5708	60	165337c4-1411-435e-861b-0e570ca43075
NC_058368.1	MAST4	gene-MAST4	133377283	133942776	+	GeneID:101087553,VGNC:VGNC:102250	6	5604	60	e0fa2b41-e733-488b-83c2-e4765a626c22
NC_058371.1	NRG1	gene-NRG1	29365283	30476921	+	GeneID:101096805,VGNC:VGNC:68564	6	5468	60	676aafb0-9631-4345-837c-91ead93b1e4d
NC_058375.1	MYO3B	gene-MYO3B	158835108	159311090	+	GeneID:101088260,VGNC:VGNC:63689	6	5437	60	9f89da79-a404-4988-9dcc-6d8a27b95d70
NC_058369.1	GRM8	gene-GRM8	143196084	143965072	-	GeneID:101098127,VGNC:VGNC:67481	6	5121	60	f3cce93c-fd92-43a2-89b4-47723abcaa93
NC_058368.1	MCTP1	gene-MCTP1	156440651	156960942	-	GeneID:101087450,VGNC:VGNC:97503	6	5088	60	78f0c7ce-fdf2-4947-97da-c656874f7cd2
NC_058368.1	ADGRV1	gene-ADGRV1	152632772	153223869	+	GeneID:101100444,VGNC:VGNC:97341	6	5040	60	2f18369a-b947-4253-b774-8b71538f7bcc
NC_058377.1	FAT3	gene-FAT3	40642393	41312210	-	GeneID:101084219,VGNC:VGNC:62159	6	5025	60	4e70cf7a-7b2d-4f93-9a7c-828d7d166b04
NC_058377.1	GRIA4	gene-GRIA4	2689280	4123173	+	GeneID:101087003,VGNC:VGNC:82479	6	4951	60	4137ae2a-be4a-43d1-aa72-c69517456bc1
NC_058369.1	SLMAP	gene-SLMAP	25816681	25967473	+	GeneID:101098123,VGNC:VGNC:65455	6	4749	60	53d504ac-be46-4191-9d95-cfbca386cbb1
NC_058369.1	RELN	gene-RELN	80797650	81334400	+	GeneID:101085703,VGNC:VGNC:69285	6	4686	60	c73d86da-d6f7-4080-8df9-33642757d85c
NC_058376.1	ZNF385D	gene-ZNF385D	137785219	138674074	-	GeneID:101082258,VGNC:VGNC:67302	6	4635	60	48e1816a-5b89-4196-83fc-0d0ccf9e3f64
NC_058375.1	LOC109502680	gene-LOC109502680	137085385	137884538	-	GeneID:109502680	6	4377	60	c6035a62-3326-42e1-8f7a-bccfae74641f
NC_058368.1	HCN1	gene-HCN1	202416438	202806909	+	GeneID:101092001,VGNC:VGNC:102223	6	4123	60	7c844ece-e73a-4f17-8ac5-de0cd902ec6a
NC_058375.1	DAB1	gene-DAB1	46261111	47399315	-	GeneID:101099483,VGNC:VGNC:61328	6	3682	60	25187bb3-02b5-4f3e-a140-7ca5f74c6014
NC_001700.1	COX1	gene-KEF43_p11	6216	7760	+	GeneID:807934	6	3439	60	cf83e03d-740f-4bdd-af16-079b67b16442
NC_001700.1	KEF43_t08	gene-KEF43_t08	5907	5975	-	GeneID:64985088	6	407	60	00de1f2d-dd3b-4865-b3b9-3368eaddc1cd
NC_001700.1	KEF43_t07	gene-KEF43_t07	5823	5890	+	GeneID:64985074	6	359	60	2149b4ff-9184-4c16-b8fb-63c198b58df7
NC_058368.1	MYO16	gene-MYO16	78538345	79153565	+	GeneID:101095545,VGNC:VGNC:102258	5	13968	60	a197495a-dc72-442b-97df-50fb27edc4e1
NC_058380.1	PCSK5	gene-PCSK5	17694639	18155876	+	GeneID:101096422,VGNC:VGNC:102961	5	10209	60	7748f562-4ef6-4540-a4f8-db3c497f0505
NC_058369.1	LOC123384112	gene-LOC123384112	36744202	36983718	-	GeneID:123384112	5	8786	60	ac31f395-5dd3-439d-823b-b6f9c86f23b1
NC_058379.1	DLGAP1	gene-DLGAP1	39395488	40527088	+	GeneID:101084321,VGNC:VGNC:80437	5	8637	60	0cfd1910-467e-4095-af2f-efa6db422fd6
NC_058376.1	CPNE4	gene-CPNE4	130304527	130907763	+	GeneID:101090713,VGNC:VGNC:61131	5	8412	60	44aab298-ff62-48fd-a721-99db7d1e414a
NC_058369.1	SEMA3A	gene-SEMA3A	88329431	88810904	-	GeneID:101094836,VGNC:VGNC:64985	5	8158	60	2883cd52-ae69-4910-a278-e5a1f6c6bd63
NC_058376.1	TIAM1	gene-TIAM1	13521304	13920973	+	GeneID:101094530,VGNC:VGNC:82570	5	7402	60	08d3077b-f2b0-4f2b-a31f-4ffa7b588534
NC_058384.1	FMN2	gene-FMN2	9067595	9560207	-	GeneID:101097037,VGNC:VGNC:107876	5	7152	60	9219523d-4d57-4053-94eb-5c7202d04ac1
NC_058383.1	CALN1	gene-CALN1	14624694	15154174	-	GeneID:101100355	5	7150	60	2a7e708d-9448-418d-a07d-885620ceca55
NC_058370.1	CTNNA2	gene-CTNNA2	94896950	96013821	+	GeneID:101088568	5	7111	60	673b2731-3f79-4d4c-9aa0-7d339c95b386
NC_058373.1	AGBL1	gene-AGBL1	8473762	9317649	-	GeneID:101092766,VGNC:VGNC:59676	5	7096	60	8e72bd9d-6ec0-4908-a3f1-c5bea1e7ac6b
NC_058369.1	PTPRN2	gene-PTPRN2	168037663	168839463	-	GeneID:101089683,VGNC:VGNC:80666	5	6701	60	f19a805e-17e4-476b-a952-2960f70f708b
NC_058369.1	DPP6	gene-DPP6	165249253	166199243	+	GeneID:101084350,VGNC:VGNC:61605	5	6686	60	7785ffc2-4234-476a-ae2c-72b73a74fb0c
